INFO 2024-08-12 11:29:08,567 autoreload Watching for file changes with StatReloader
DEBUG 2024-08-12 11:29:08,760 autoreload File D:\Learning\Python\django\Admin Panel\myvenv\Lib\site-packages\django\templatetags\l10n.py first seen with mtime 1706593859.5898
DEBUG 2024-08-12 11:29:08,760 autoreload File C:\Users\dharm\AppData\Local\Programs\Python\Python311\Lib\urllib\response.py first seen with mtime 1666616648.0
DEBUG 2024-08-12 11:29:08,760 autoreload File D:\Learning\Python\django\Admin Panel\myvenv\Lib\site-packages\django\db\models\signals.py first seen with mtime 1706593859.5279534
DEBUG 2024-08-12 11:29:08,761 autoreload File C:\Users\dharm\AppData\Local\Programs\Python\Python311\Lib\copyreg.py first seen with mtime 1666616648.0
DEBUG 2024-08-12 11:29:08,762 autoreload File D:\Learning\Python\django\Admin Panel\myvenv\Lib\site-packages\django\contrib\messages\constants.py first seen with mtime 1706593859.0901344
DEBUG 2024-08-12 11:29:08,763 autoreload File D:\Learning\Python\django\Admin Panel\myvenv\Lib\site-packages\django\db\backends\mysql\validation.py first seen with mtime 1706593859.5026314
DEBUG 2024-08-12 11:29:08,764 autoreload File C:\Users\dharm\AppData\Local\Programs\Python\Python311\Lib\asyncio\transports.py first seen with mtime 1666616648.0
DEBUG 2024-08-12 11:29:08,764 autoreload File D:\Learning\Python\django\Admin Panel\myvenv\Lib\site-packages\django\contrib\staticfiles\management\commands\__init__.py first seen with mtime 1706593859.4511077
DEBUG 2024-08-12 11:29:08,765 autoreload File C:\Users\dharm\AppData\Local\Programs\Python\Python311\Lib\asyncio\constants.py first seen with mtime 1666616648.0
DEBUG 2024-08-12 11:29:08,765 autoreload File D:\Learning\Python\django\Admin Panel\myvenv\Lib\site-packages\django\db\migrations\operations\models.py first seen with mtime 1706593859.52137
DEBUG 2024-08-12 11:29:08,765 autoreload File C:\Users\dharm\AppData\Local\Programs\Python\Python311\Lib\wsgiref\__init__.py first seen with mtime 1666616650.0
DEBUG 2024-08-12 11:29:08,765 autoreload File D:\Learning\Python\django\Admin Panel\myvenv\Lib\site-packages\MySQLdb\constants\FLAG.py first seen with mtime 1722918864.7938051
DEBUG 2024-08-12 11:29:08,766 autoreload File D:\Learning\Python\django\Admin Panel\myvenv\Lib\site-packages\django\core\management\commands\__init__.py first seen with mtime 1706593859.4781408
DEBUG 2024-08-12 11:29:08,766 autoreload File D:\django synclab\synclab\myapp\urls.py first seen with mtime 1722942199.9276261
DEBUG 2024-08-12 11:29:08,766 autoreload File C:\Users\dharm\AppData\Local\Programs\Python\Python311\DLLs\unicodedata.pyd first seen with mtime 1666616690.0
DEBUG 2024-08-12 11:29:08,766 autoreload File D:\Learning\Python\django\Admin Panel\myvenv\Lib\site-packages\django\apps\__init__.py first seen with mtime 1706593858.1154552
DEBUG 2024-08-12 11:29:08,767 autoreload File D:\Learning\Python\django\Admin Panel\myvenv\Lib\site-packages\django\db\models\fields\proxy.py first seen with mtime 1706593859.5309525
DEBUG 2024-08-12 11:29:08,767 autoreload File D:\Learning\Python\django\Admin Panel\myvenv\Lib\site-packages\MySQLdb\__init__.py first seen with mtime 1722918864.7845118
DEBUG 2024-08-12 11:29:08,767 autoreload File D:\Learning\Python\django\Admin Panel\myvenv\Lib\site-packages\django\core\servers\basehttp.py first seen with mtime 1706593859.4901414
DEBUG 2024-08-12 11:29:08,767 autoreload File D:\Learning\Python\django\Admin Panel\myvenv\Lib\site-packages\django\utils\translation\__init__.py first seen with mtime 1706593859.6112912
DEBUG 2024-08-12 11:29:08,767 autoreload File D:\Learning\Python\django\Admin Panel\myvenv\Lib\site-packages\django\db\models\fields\generated.py first seen with mtime 1706593859.5299523
DEBUG 2024-08-12 11:29:08,768 autoreload File D:\Learning\Python\django\Admin Panel\myvenv\Lib\site-packages\MySQLdb\_mysql.cp311-win_amd64.pyd first seen with mtime 1722918864.7885194
DEBUG 2024-08-12 11:29:08,768 autoreload File C:\Users\dharm\AppData\Local\Programs\Python\Python311\Lib\locale.py first seen with mtime 1666616648.0
DEBUG 2024-08-12 11:29:08,768 autoreload File C:\Users\dharm\AppData\Local\Programs\Python\Python311\Lib\email\charset.py first seen with mtime 1666616648.0
DEBUG 2024-08-12 11:29:08,768 autoreload File C:\Users\dharm\AppData\Local\Programs\Python\Python311\DLLs\_bz2.pyd first seen with mtime 1666616688.0
DEBUG 2024-08-12 11:29:08,769 autoreload File D:\Learning\Python\django\Admin Panel\myvenv\Lib\site-packages\django\contrib\staticfiles\management\commands\runserver.py first seen with mtime 1706593859.4521117
DEBUG 2024-08-12 11:29:08,769 autoreload File D:\Learning\Python\django\Admin Panel\myvenv\Lib\site-packages\django\core\cache\utils.py first seen with mtime 1706593859.456112
DEBUG 2024-08-12 11:29:08,770 autoreload File D:\Learning\Python\django\Admin Panel\myvenv\Lib\site-packages\django\core\management\commands\runserver.py first seen with mtime 1706593859.484146
DEBUG 2024-08-12 11:29:08,770 autoreload File D:\Learning\Python\django\Admin Panel\myvenv\Lib\site-packages\django\db\models\constraints.py first seen with mtime 1706593859.5235722
DEBUG 2024-08-12 11:29:08,770 autoreload File D:\Learning\Python\django\Admin Panel\myvenv\Lib\site-packages\django\forms\forms.py first seen with mtime 1706593859.542652
DEBUG 2024-08-12 11:29:08,771 autoreload File D:\Learning\Python\django\Admin Panel\myvenv\Lib\site-packages\django\db\models\functions\window.py first seen with mtime 1706593859.535957
DEBUG 2024-08-12 11:29:08,771 autoreload File D:\Learning\Python\django\Admin Panel\myvenv\Lib\site-packages\django\contrib\admin\templatetags\base.py first seen with mtime 1706593858.5060318
DEBUG 2024-08-12 11:29:08,771 autoreload File D:\Learning\Python\django\Admin Panel\myvenv\Lib\site-packages\django\core\files\storage\base.py first seen with mtime 1706593859.4681764
DEBUG 2024-08-12 11:29:08,771 autoreload File D:\Learning\Python\django\Admin Panel\myvenv\Lib\site-packages\django\__init__.py first seen with mtime 1706593858.1154552
DEBUG 2024-08-12 11:29:08,772 autoreload File D:\Learning\Python\django\Admin Panel\myvenv\Lib\site-packages\django\contrib\admin\models.py first seen with mtime 1706593858.2837226
DEBUG 2024-08-12 11:29:08,772 autoreload File C:\Users\dharm\AppData\Local\Programs\Python\Python311\Lib\asyncio\threads.py first seen with mtime 1666616648.0
